Knölsvan;Cygnus olor;(J.F.Gmelin, 1789);;48
Mindre sångsvan;Cygnus columbianus;(Ord, 1815);;3
Sångsvan;Cygnus cygnus;(Linnaeus, 1758);;274
Ob. mindre sångsvan-/sångsvan;Cygnus columbianus/cygnus;;NE;1
Prutgås;Branta bernicla;(Linnaeus, 1758);;1
Rödhalsad gås;Branta ruficollis;(Pallas, 1769);;0
Kanadagås;Branta canadensis;(Linnaeus, 1758);;105
Vitkindad gås;Branta leucopsis;(Bechstein, 1803);;58
Stripgås;Anser indicus;(Latham, 1790);;1
Grågås;Anser anser;(Linnaeus, 1758);;196
Bläsgås;Anser albifrons;(Scopoli, 1769);;65
Tundragås;Anser serrirostris;Gould, 1852;;1
Spetsbergsgås;Anser brachyrhynchus;Baillon, 1833;;1
Skogsgås;Anser fabalis;(Latham, 1787);VU;3
Ob. skogsgås/tundragås;Anser fabalis/serrirostris;;NE;21
Ob. gås;Anser/Branta;;;2
Nilgås;Alopochen aegyptiaca;(Linnaeus, 1766);;1
Gravand;Tadorna tadorna;(Linnaeus, 1758);NT;43
Ejder;Somateria mollissima;(Linnaeus, 1758);EN;2
Knipa;Bucephala clangula;(Linnaeus, 1758);;183
Salskrake;Mergellus albellus;(Linnaeus, 1758);;38
Storskrake;Mergus merganser;Linnaeus, 1758;;39
Brunand;Aythya ferina;(Linnaeus, 1758);EN;11
Vigg;Aythya fuligula;(Linnaeus, 1758);;45
Årta;Spatula querquedula;(Linnaeus, 1758);EN;0
Skedand;Spatula clypeata;(Linnaeus, 1758);NT;15
Snatterand;Mareca strepera;(Linnaeus, 1758);;7
Bläsand;Mareca penelope;(Linnaeus, 1758);VU;93
Gräsand;Anas platyrhynchos;Linnaeus, 1758;;246
Stjärtand;Anas acuta;Linnaeus, 1758;VU;16
Kricka;Anas crecca;Linnaeus, 1758;VU;102
Fasanfåglar;Phasianidae;Horsfield, 1821;;1
Rapphöna;Perdix perdix;(Linnaeus, 1758);NT;122
Fasan;Phasianus colchicus;Linnaeus, 1758;;81
Vaktel;Coturnix coturnix;(Linnaeus, 1758);NT;23
Smådopping;Tachybaptus ruficollis;(Pallas, 1764);NT;7
Gråhakedopping;Podiceps grisegena;(Boddaert, 1783);;5
Gök;Cuculus canorus;Linnaeus, 1758;;135
Turturduva;Streptopelia turtur;(Linnaeus, 1758);;1
Turkduva;Streptopelia decaocto;(Frivaldszky, 1838);;125
Ringduva;Columba palumbus;Linnaeus, 1758;;363
Tamduva;Columba livia, domesticated populations;;;44
Skogsduva;Columba oenas;Linnaeus, 1758;;154
Trana;Grus grus;(Linnaeus, 1758);;166
Vattenrall;Rallus aquaticus;Linnaeus, 1758;;2
Kornknarr;Crex crex;(Linnaeus, 1758);NT;8
Småfläckig sumphöna;Porzana porzana;(Linnaeus, 1766);VU;0
Rörhöna;Gallinula chloropus;(Linnaeus, 1758);;12
Sothöna;Fulica atra;Linnaeus, 1758;;13
Skärfläcka;Recurvirostra avosetta;Linnaeus, 1758;;2
Strandskata;Haematopus ostralegus;Linnaeus, 1758;NT;75
Ljungpipare;Pluvialis apricaria;(Linnaeus, 1758);;69
Större strandpipare;Charadrius hiaticula;Linnaeus, 1758;;12
Mindre strandpipare;Thinornis dubius;(Scopoli, 1786);;49
Tofsvipa;Vanellus vanellus;(Linnaeus, 1758);VU;315
Småspov;Numenius phaeopus;(Linnaeus, 1758);;1
Storspov;Numenius arquata;(Linnaeus, 1758);EN;137
Rödspov;Limosa limosa;(Linnaeus, 1758);EN;0
Dvärgbeckasin;Lymnocryptes minimus;(Brünnich, 1764);;6
Morkulla;Scolopax rusticola;Linnaeus, 1758;;26
Dubbelbeckasin;Gallinago media;(Latham, 1787);NT;3
Enkelbeckasin;Gallinago gallinago;(Linnaeus, 1758);;56
Drillsnäppa;Actitis hypoleucos;Linnaeus, 1758;NT;2
Skogssnäppa;Tringa ochropus;Linnaeus, 1758;;58
Grönbena;Tringa glareola;Linnaeus, 1758;;18
Rödbena;Tringa totanus;(Linnaeus, 1758);;17
Svartsnäppa;Tringa erythropus;(Pallas, 1764);NT;1
Gluttsnäppa;Tringa nebularia;(Gunnerus, 1767);;10
Brushane;Calidris pugnax;(Linnaeus, 1758);VU;24
Mosnäppa;Calidris temminckii;(Leisler, 1812);;1
Nordlig kärrsnäppa;Calidris alpina alpina;(Linnaeus, 1758);NE;1
Småsnäppa;Calidris minuta;(Leisler, 1812);;1
Fisktärna;Sterna hirundo;Linnaeus, 1758;;3
Skrattmås;Chroicocephalus ridibundus;(Linnaeus, 1758);NT;86
Svarthuvad mås;Ichthyaetus melanocephalus;(Temminck, 1820);;1
Fiskmås;Larus canus;Linnaeus, 1758;NT;97
Kaspisk trut;Larus cachinnans;Pallas, 1811;;1
Gråtrut;Larus argentatus;Pontoppidan, 1763;VU;156
Havstrut;Larus marinus;Linnaeus, 1758;VU;20
Silltrut;Larus fuscus;Linnaeus, 1758;NE;6
Nordsjösilltrut;Larus fuscus intermedius;Schiøler, 1922;;5
Stormfågel;Fulmarus glacialis;(Linnaeus, 1761);;1
Svart stork;Ciconia nigra;(Linnaeus, 1758);RE;2
Vit stork;Ciconia ciconia;(Linnaeus, 1758);EN;254
Storskarv;Phalacrocorax carbo;(Linnaeus, 1758);;62
Hägrar;Ardeidae;;;3
Ägretthäger;Ardea alba;Linnaeus, 1758;;43
Gråhäger;Ardea cinerea;Linnaeus, 1758;;116
Nattskärra;Caprimulgus europaeus;Linnaeus, 1758;;12
Tornseglare;Apus apus;(Linnaeus, 1758);EN;214
Ob. horn-/jorduggla;Asio;Brisson, 1760;;1
Jorduggla;Asio flammeus;(Pontoppidan, 1763);;7
Hornuggla;Asio otus;(Linnaeus, 1758);NT;23
Berguv;Bubo bubo;(Linnaeus, 1758);VU;12
Kattuggla;Strix aluco;Linnaeus, 1758;;76
Fiskgjuse;Pandion haliaetus;(Linnaeus, 1758);;25
Bivråk;Pernis apivorus;(Linnaeus, 1758);;54
Stäppörn;Aquila nipalensis;(Hodgson, 1833);;1
Kungsörn;Aquila chrysaetos;(Linnaeus, 1758);NT;40
Sparvhök;Accipiter nisus;(Linnaeus, 1758);;198
Duvhök;Astur gentilis;(Linnaeus, 1758);NT;52
Stäpphök;Circus macrourus;(S.G.Gmelin, 1771);;2
Blå kärrhök;Circus cyaneus;(Linnaeus, 1766);NT;161
Brun kärrhök;Circus aeruginosus;(Linnaeus, 1758);;128
Ob. stäpp-/ängshök;Circus macrourus/pygargus;;NE;1
Röd glada;Milvus milvus;(Linnaeus, 1758);;1208
Brun glada;Milvus migrans;(Boddaert, 1783);EN;13
Havsörn;Haliaeetus albicilla;(Linnaeus, 1758);NT;229
Fjällvråk;Buteo lagopus;(Pontoppidan, 1763);NT;220
Ormvråk;Buteo buteo;(Linnaeus, 1758);;850
Ob. vråk;Buteo/Pernis;;;1
Kungsfiskare;Alcedo atthis;(Linnaeus, 1758);VU;17
Göktyta;Jynx torquilla;Linnaeus, 1758;;5
Gröngöling;Picus viridis;Linnaeus, 1758;;88
Spillkråka;Dryocopus martius;(Linnaeus, 1758);NT;68
Större hackspett;Dendrocopos major;(Linnaeus, 1758);;273
